instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,,,﻿Providence,,﻿RI,,41.8193105,-71.41658309999998,,,,,,﻿Rt. Rev.,﻿F.P. McFarland,﻿D.D.,,,,,,1870,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,,,﻿Providence,,﻿RI,,41.8193105,-71.41658309999998,,,,,,﻿Rev.,﻿Michael Tierney,,,,,,,1870,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,,,﻿Providence,,﻿RI,,41.8193105,-71.41658309999998,,,,,,﻿Rev.,﻿Michael Fitzgerald,,,,,,,1870,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,,,﻿Providence,,﻿RI,,41.8193105,-71.41658309999998,,,,,,﻿Rev.,﻿Joseph B. Reid,,,,,,,1870,Hartford
﻿har.ct.0002,﻿church,﻿St. Patrick's,English,,,,,,﻿Providence,,﻿RI,,41.8325998,-71.41956379999998,,,,,,﻿Rev.,﻿Christopher Hughes,,﻿pastor,,,,,1870,Hartford
﻿har.ct.0002,﻿church,﻿St. Patrick's,English,,,,,,﻿Providence,,﻿RI,,41.8325998,-71.41956379999998,,,,,,﻿Rev.,﻿Stephen P. Sheffrey,,,,,,,1870,Hartford
﻿har.ct.0003,﻿church,﻿St. Joseph's,English,,,,,,﻿Providence,,﻿RI,,41.8213914,-71.3966247,,,,,,﻿Rev.,﻿Daniel Kelly,,﻿pastor,,,,,1870,Hartford
﻿har.ct.0003,﻿church,﻿St. Joseph's,English,,,,,,﻿Providence,,﻿RI,,41.8213914,-71.3966247,,,,,,﻿Rev.,﻿Wm. Halligan,,,,,,,1870,Hartford
﻿har.ct.0004,﻿church,﻿St. Mary's,English,,,,,,﻿Providence,,﻿RI,,41.8239891,-71.4128343,,,,,,﻿Rev.,﻿John Quinn,﻿D.D.,﻿pastor,,,,,1870,Hartford
﻿har.ct.0004,﻿church,﻿St. Mary's,English,,,,,,﻿Providence,,﻿RI,,41.8239891,-71.4128343,,,,,,﻿Rev.,﻿John S. Flynn,,,,,,,1870,Hartford
﻿har.ct.0004,﻿church,﻿St. Mary's,English,,,,,,﻿Providence,,﻿RI,,41.8239891,-71.4128343,,,,,,﻿Rev.,﻿Michael M. Clune,,,,,,,1870,Hartford
﻿har.ct.0005,﻿church,﻿Immaculate Conception,English,,,,,,﻿Providence,,﻿RI,,41.8239891,-71.4128343,,,,,,﻿Rev.,﻿E. J. Cooney,,﻿pastor,,,,,1870,Hartford
﻿har.ct.0005,﻿church,﻿Immaculate Conception,English,,,,,,﻿Providence,,﻿RI,,41.8239891,-71.4128343,,,,,,﻿Rev.,﻿Mathew McCabe,,,,,,,1870,Hartford
﻿har.ct.0005,﻿church,﻿Immaculate Conception,English,,,,,,﻿Providence,,﻿RI,,41.8239891,-71.4128343,,,,,,﻿Rev.,﻿James B. Reynolds,,,,,,,1870,Hartford
﻿har.ct.0006,﻿church,﻿St. Michael's,English,,,,,,﻿Providence,,﻿RI,,41.8017693,-71.4134994,,,,,,﻿Rev.,﻿M. A. Wallace,﻿LL.D.,﻿pastor,,,,,1870,Hartford
﻿har.ct.0007,﻿chapel,﻿St. Aloysius' Chapel,English,,,,,,﻿Providence,,﻿RI,,41.8210917,-71.4140041,,﻿attended from different parishes of the city,,,,,,,,,,,,1870,Hartford
﻿har.ct.0008,﻿chapel,﻿St. Catharine's Chapel,English,,,,,,﻿Providence,,﻿RI,,41.8210917,-71.4140041,,﻿attended from the Cathedral,,,,,,,,,,,,1870,Hartford
﻿har.ct.0009,﻿church,not recorded,English,,,,﻿Providence,,﻿Albion,,﻿RI,,41.9532999,-71.4581359,,﻿attended from Valley Falls,﻿every second Sunday,,,,,,,,,,,1870,Hartford
﻿har.ct.0010,﻿church,not recorded,English,,,,,,﻿Appanany,,﻿RI,,41.70028,-71.46028000000003,,﻿attended from Greenwich,,,,,,,,,,,,1870,Hartford
﻿har.ct.0011,﻿church,not recorded,English,,,,,,﻿Ashton,,﻿RI,,41.9376052,-71.43252159999999,,﻿attended from Valley Falls,﻿every second Sunday,,,,,,,,,,,1870,Hartford
﻿har.ct.0012,﻿church,﻿St. Mary's,English,,,,,,﻿Bristol,,﻿RI,,41.6711818,-71.2707346,,﻿attended from Warren,﻿every second Sunday,,,,,,,,,,,1870,Hartford
﻿har.ct.0013,﻿church,not recorded,English,,,,,,﻿Carolina,,﻿RI,,41.4568113,-71.66733520000002,,﻿attended from Westerly,,,,,,,,,,,,1870,Hartford
﻿har.ct.0014,﻿church,not recorded,English,,,,,,﻿Carolina,,﻿RI,,41.4568113,-71.66733520000002,,﻿attended from Westerly,,,,,,,,,,,,1870,Hartford
﻿har.ct.0015,﻿church,not recorded,English,,,,,,﻿Coal Mines,,﻿RI,,41.5800945,-71.4774291,,﻿attended from Newport,,,,,,,,,,,,1870,Hartford
﻿har.ct.0016,﻿church,﻿St. Anne's,English,,,,,,﻿Cranston,,﻿RI,,41.7798226,-71.4372796,,,,,,﻿Rev.,﻿Joseph O'Brien,,﻿pastor,,,,,1870,Hartford
﻿har.ct.0017,﻿church,﻿Our Lady of Mount Carmel,English,,,,,,﻿Crompton,,﻿RI,,41.68472,-71.5141699,,,,,,﻿Rev.,﻿James P. Gibson,,﻿pastor,,,,,1870,Hartford
﻿har.ct.0018,﻿church,not recorded,English,,,,,,﻿Georgiaville,,﻿RI,,41.8870436,-71.5083944,,﻿attended from Greenville,,,,,,,,,,,,1870,Hartford
﻿har.ct.0019,﻿church,﻿St. Joseph's,English,,,,,,﻿Geneva,,﻿RI,,41.8213914,-71.3966247,,"﻿attended from Immaculate Conception, Providence",,,,,,,,,,,,1870,Hartford
﻿har.ct.0020,﻿church,﻿Holy Name of Jesus,English,,,,,,﻿Greenwich,,﻿RI,,41.6540583,-71.4576721,,,,,,﻿Rev.,﻿Thomas Kane,,﻿pastor,,,,,1870,Hartford
﻿har.ct.0021,﻿church,﻿St. Philip,English,,,,,,﻿Greenville,,﻿RI,,41.873398,-71.559435,,,,,,﻿Rev.,﻿Michael Rodden,,﻿pastor,,,,,1870,Hartford
﻿har.ct.0022,﻿church,﻿St. Patrick's,English,,,,,,﻿Harrisville,,﻿RI,,41.9674813,-71.6780247,,,,,,﻿Rev.,﻿William H. Brick,,﻿pastor,,,,,1870,Hartford
﻿har.ct.0023,﻿church,not recorded,English,,,,,,﻿Manville,,﻿RI,,41.9681345,-71.4749437,,﻿attended from Valley Falls,,,,,,,,,,,,1870,Hartford
﻿har.ct.0024,﻿church,not recorded,English,,,,,,﻿Natick,,﻿RI,,41.7187117,-71.4820037,,﻿attended from Phoenixville,,,,,,,,,,,,1870,Hartford
﻿har.ct.0025,﻿church,﻿Our Lady of the Isle,English,,,,,,﻿Newport,,﻿RI,,41.48419929999999,-71.3084391,,,,,,﻿Rev.,﻿Philip Grace,,﻿pastor,,,,,1870,Hartford
﻿har.ct.0026,﻿church,﻿Immaculate Conception,English,,,,,,﻿Pawtucket,,﻿RI,,41.878711,-71.38255579999998,,,,,,﻿Rev.,﻿P. G. Delaney,,﻿pastor,,,,,1870,Hartford
﻿har.ct.0026,﻿church,﻿Immaculate Conception,English,,,,,,﻿Pawtucket,,﻿RI,,41.878711,-71.38255579999998,,,,,,﻿Rev.,﻿James Smith,,,,,,,1870,Hartford
